"","From","To","value","from_lat","from_lon","to_lat","to_lon"
"1","","",66,-7.750933647,-8.75,-7.750933647,-8.75
"2","CYHZ","KEWR",7,44.880833,-63.50861,40.6925,-74.168667
"3","CYOW","KEWR",3,45.3225,-75.669167,40.6925,-74.168667
"4","CYOW","KORD",2,45.3225,-75.669167,41.978603,-87.904842
"5","CYQM","KEWR",5,46.112221,-64.678611,40.6925,-74.168667
"6","CYUL","KEWR",3,45.470556,-73.740833,40.6925,-74.168667
"7","CYUL","KIAD",1,45.470556,-73.740833,38.944533,-77.455811
"8","CYWG","KDEN",1,49.910036,-97.239886,39.861656,-104.673178
"9","CYXE","KDEN",1,52.170834,-106.699722,39.861656,-104.673178
"10","CYXE","KORD",1,52.170834,-106.699722,41.978603,-87.904842
"11","CYYT","KEWR",1,47.61861,-52.751945,40.6925,-74.168667
"12","CYYZ","KCLE",4,43.677223,-79.630556,41.411689,-81.849794
"13","CYYZ","KEWR",4,43.677223,-79.630556,40.6925,-74.168667
"14","CYYZ","KIAH",8,43.677223,-79.630556,29.984433,-95.341442
"15","EBLG","EGSS",3,50.637417,5.443222,51.885,0.235
"16","EBLG","LFSB",3,50.637417,5.443222,47.589583,7.529914
"17","EBLG","LLBG",2,50.637417,5.443222,32.011389,34.886667
"18","EBLG","LOWW",6,50.637417,5.443222,48.110278,16.569722
"19","EDDF","LFPG",1,50.026421,8.543125,49.012779,2.55
"20","EDDK","EDDM",8,50.865917,7.142744,48.353783,11.786086
"21","EDDK","LGAV",4,50.865917,7.142744,37.936358,23.944467
"22","EDDK","LLBG",1,50.865917,7.142744,32.011389,34.886667
"23","EDDM","EDDF",1,48.353783,11.786086,50.026421,8.543125
"24","EDDM","EDDM",1,48.353783,11.786086,48.353783,11.786086
"25","EDDM","LFPG",4,48.353783,11.786086,49.012779,2.55
"26","EFHK","EFHK",1,60.317222,24.963333,60.317222,24.963333
"27","EFHK","ESSA",10,60.317222,24.963333,59.651944,17.918611
"28","EGBB","EGCC",6,52.453856,-1.748028,53.353744,-2.27495
"29","EGBB","LFPG",5,52.453856,-1.748028,49.012779,2.55
"30","EGCC","EGBB",5,53.353744,-2.27495,52.453856,-1.748028
"31","EGSS","EBLG",3,51.885,0.235,50.637417,5.443222
"32","EKCH","LFPG",11,55.617917,12.655972,49.012779,2.55
"33","ESSA","EFHK",4,59.651944,17.918611,60.317222,24.963333
"34","ESSA","ESSA",2,59.651944,17.918611,59.651944,17.918611
"35","ESSA","LFPG",9,59.651944,17.918611,49.012779,2.55
"36","KAAF","KDTS",1,29.7276066,-85.0274416,30.4000611,-86.4714772
"37","KABQ","KIAH",7,35.0402222,-106.6091944,29.984433,-95.341442
"38","KACT","KIAH",1,31.611289,-97.230519,29.984433,-95.341442
"39","KACT","KMHK",1,31.611289,-97.230519,39.140972,-96.670833
"40","KAEX","KIAH",3,31.3274,-92.549833,29.984433,-95.341442
"41","KALB","KCLE",3,42.748267,-73.801692,41.411689,-81.849794
"42","KALB","KEWR",1,42.748267,-73.801692,40.6925,-74.168667
"43","KAMA","KIAH",2,35.219369,-101.705931,29.984433,-95.341442
"44","KAMA","KSAT",1,35.219369,-101.705931,29.533694,-98.469778
"45","KATL","KCLE",3,33.636719,-84.428067,41.411689,-81.849794
"46","KATL","KEWR",2,33.636719,-84.428067,40.6925,-74.168667
"47","KATL","KIAH",9,33.636719,-84.428067,29.984433,-95.341442
"48","KAUS","KCLE",1,30.194528,-97.669889,41.411689,-81.849794
